date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:28:56	32310/32310	---M--	200	added ('OK')	text/html	etag:W/%227e36-17857177390%22	https://deeply-neon-blackcurrant.glitch.me/index.html?v=	C:/Benim%20Web%20Sitem/test/deeply-neon-blackcurrant.glitch.me/indexec92.html	(from )
14:28:57	9/9	---M--	404	error ('Not%20Found')	text/plain	date:Wed,%2031%20Mar%202021%2011:28:58%20GMT	https://deeply-neon-blackcurrant.glitch.me/robots.txt		(from )
14:28:58	660/660	---MCZ	200	added ('OK')	text/css	etag:W/%2229a22094c35b10f4771809dc056a0183%22	https://use.fontawesome.com/releases/v5.8.2/css/brands.css	C:/Benim%20Web%20Sitem/test/use.fontawesome.com/releases/v5.8.2/css/brands.css	(from https://deeply-neon-blackcurrant.glitch.me/index.html?v=)
14:28:58	53756/53756	---MCZ	200	added ('OK')	text/css	etag:W/%223a31190683088ef273849e1462993b41%22	https://use.fontawesome.com/releases/v5.8.2/css/fontawesome.css	C:/Benim%20Web%20Sitem/test/use.fontawesome.com/releases/v5.8.2/css/fontawesome.css	(from https://deeply-neon-blackcurrant.glitch.me/index.html?v=)
14:28:59	3558/3558	---M--	200	added ('OK')	application/javascript	etag:W/%22de6-1778e23f468%22	https://deeply-neon-blackcurrant.glitch.me/app.js	C:/Benim%20Web%20Sitem/test/deeply-neon-blackcurrant.glitch.me/app.js	(from https://deeply-neon-blackcurrant.glitch.me/index.html?v=)
14:28:59	47219/47219	---M--	200	added ('OK')	text/css	etag:W/%22b873-1785719ffe8%22	https://deeply-neon-blackcurrant.glitch.me/davi.css?ec6d7c0e25a6762cdc98	C:/Benim%20Web%20Sitem/test/deeply-neon-blackcurrant.glitch.me/davi3032.css	(from https://deeply-neon-blackcurrant.glitch.me/index.html?v=)
14:29:00	264/264	---M--	200	added ('OK')	application/javascript	etag:W/%22108-1753313c4d8%22	https://deeply-neon-blackcurrant.glitch.me/chat.js	C:/Benim%20Web%20Sitem/test/deeply-neon-blackcurrant.glitch.me/chat.js	(from https://deeply-neon-blackcurrant.glitch.me/index.html?v=)
14:29:00	889/889	---M--	200	added ('OK')	application/javascript	etag:W/%22379-17764c30370%22	https://deeply-neon-blackcurrant.glitch.me/leaderboard.js	C:/Benim%20Web%20Sitem/test/deeply-neon-blackcurrant.glitch.me/leaderboard.js	(from https://deeply-neon-blackcurrant.glitch.me/index.html?v=)
14:29:00	211/211	---M--	200	added ('OK')	application/javascript	etag:W/%22d3-1776825aab8%22	https://deeply-neon-blackcurrant.glitch.me/massBar.js	C:/Benim%20Web%20Sitem/test/deeply-neon-blackcurrant.glitch.me/massBar.js	(from https://deeply-neon-blackcurrant.glitch.me/index.html?v=)
14:29:00	2218/2218	---M--	200	added ('OK')	application/javascript	etag:W/%228aa-1778e20c400%22	https://deeply-neon-blackcurrant.glitch.me/buildOptions.js	C:/Benim%20Web%20Sitem/test/deeply-neon-blackcurrant.glitch.me/buildOptions.js	(from https://deeply-neon-blackcurrant.glitch.me/index.html?v=)
14:29:01	1271/1271	---M--	200	added ('OK')	application/javascript	etag:W/%224f7-1778e219ec0%22	https://deeply-neon-blackcurrant.glitch.me/musicBox.js	C:/Benim%20Web%20Sitem/test/deeply-neon-blackcurrant.glitch.me/musicBox.js	(from https://deeply-neon-blackcurrant.glitch.me/index.html?v=)
